2024-05-21 14:47:55 - INFO - [105, 12, 16, 12, 31] is search
2024-05-21 14:47:56 - INFO - search [105, 12, 16, 12, 31], it's base url is https://judgment.judicial.gov.tw/FJUD/qryresultlst.aspx?ty=JUDBOOK&q=305df42e4b7403d6afa8baa311a6e376
2024-05-21 14:47:56 - WARNING - [105, 12, 16, 12, 31] need to minimize split date interval, otherwise data shortage!!
2024-05-21 14:54:14 - INFO - id_id:129, search [105, 12, 16, 12, 31], case_number:129 is ok
2024-05-21 14:54:20 - INFO - id_id:130, search [105, 12, 16, 12, 31], case_number:130 is ok
2024-05-21 14:54:25 - INFO - id_id:131, search [105, 12, 16, 12, 31], case_number:131 is ok
2024-05-21 14:54:30 - INFO - id_id:132, search [105, 12, 16, 12, 31], case_number:132 is ok
2024-05-21 14:54:35 - INFO - id_id:133, search [105, 12, 16, 12, 31], case_number:133 is ok
2024-05-21 14:54:40 - INFO - id_id:134, search [105, 12, 16, 12, 31], case_number:134 is ok
2024-05-21 14:54:45 - INFO - id_id:135, search [105, 12, 16, 12, 31], case_number:135 is ok
2024-05-21 14:55:06 - INFO - id_id:136, search [105, 12, 16, 12, 31], case_number:136 is ok
2024-05-21 14:55:08 - INFO - id_id:137, search [105, 12, 16, 12, 31], case_number:137 is ok
2024-05-21 14:55:11 - INFO - id_id:138, search [105, 12, 16, 12, 31], case_number:138 is ok
2024-05-21 14:55:13 - INFO - id_id:139, search [105, 12, 16, 12, 31], case_number:139 is ok
2024-05-21 14:55:15 - INFO - id_id:140, search [105, 12, 16, 12, 31], case_number:140 is ok
2024-05-21 14:55:19 - INFO - id_id:141, search [105, 12, 16, 12, 31], case_number:141 is ok
2024-05-21 14:55:22 - INFO - id_id:142, search [105, 12, 16, 12, 31], case_number:142 is ok
2024-05-21 14:55:25 - INFO - id_id:143, search [105, 12, 16, 12, 31], case_number:143 is ok
2024-05-21 14:55:30 - INFO - id_id:144, search [105, 12, 16, 12, 31], case_number:144 is ok
2024-05-21 14:55:34 - INFO - id_id:145, search [105, 12, 16, 12, 31], case_number:145 is ok
2024-05-21 14:55:39 - INFO - id_id:146, search [105, 12, 16, 12, 31], case_number:146 is ok
2024-05-21 14:55:44 - INFO - id_id:147, search [105, 12, 16, 12, 31], case_number:147 is ok
2024-05-21 14:55:48 - INFO - id_id:148, search [105, 12, 16, 12, 31], case_number:148 is ok
2024-05-21 14:55:53 - INFO - id_id:149, search [105, 12, 16, 12, 31], case_number:149 is ok
2024-05-21 14:55:55 - INFO - id_id:150, search [105, 12, 16, 12, 31], case_number:150 is ok
2024-05-21 14:55:57 - INFO - id_id:151, search [105, 12, 16, 12, 31], case_number:151 is ok
2024-05-21 14:55:59 - INFO - id_id:152, search [105, 12, 16, 12, 31], case_number:152 is ok
2024-05-21 14:56:01 - INFO - id_id:153, search [105, 12, 16, 12, 31], case_number:153 is ok
2024-05-21 14:56:03 - INFO - id_id:154, search [105, 12, 16, 12, 31], case_number:154 is ok
2024-05-21 14:56:06 - INFO - id_id:155, search [105, 12, 16, 12, 31], case_number:155 is ok
2024-05-21 14:56:08 - INFO - id_id:156, search [105, 12, 16, 12, 31], case_number:156 is ok
2024-05-21 14:56:10 - INFO - id_id:157, search [105, 12, 16, 12, 31], case_number:157 is ok
2024-05-21 14:56:12 - INFO - id_id:158, search [105, 12, 16, 12, 31], case_number:158 is ok
2024-05-21 14:56:15 - INFO - id_id:159, search [105, 12, 16, 12, 31], case_number:159 is ok
2024-05-21 14:56:16 - INFO - id_id:160, search [105, 12, 16, 12, 31], case_number:160 is ok
2024-05-21 14:56:19 - INFO - id_id:161, search [105, 12, 16, 12, 31], case_number:161 is ok
2024-05-21 14:56:21 - INFO - id_id:162, search [105, 12, 16, 12, 31], case_number:162 is ok
2024-05-21 14:56:23 - INFO - id_id:163, search [105, 12, 16, 12, 31], case_number:163 is ok
2024-05-21 14:56:25 - INFO - id_id:164, search [105, 12, 16, 12, 31], case_number:164 is ok
2024-05-21 14:56:27 - INFO - id_id:165, search [105, 12, 16, 12, 31], case_number:165 is ok
2024-05-21 14:56:30 - INFO - id_id:166, search [105, 12, 16, 12, 31], case_number:166 is ok
2024-05-21 14:56:32 - INFO - id_id:167, search [105, 12, 16, 12, 31], case_number:167 is ok
2024-05-21 14:56:34 - INFO - id_id:168, search [105, 12, 16, 12, 31], case_number:168 is ok
2024-05-21 14:56:36 - INFO - id_id:169, search [105, 12, 16, 12, 31], case_number:169 is ok
2024-05-21 14:56:39 - INFO - id_id:170, search [105, 12, 16, 12, 31], case_number:170 is ok
2024-05-21 14:56:41 - INFO - id_id:171, search [105, 12, 16, 12, 31], case_number:171 is ok
2024-05-21 14:56:43 - INFO - id_id:172, search [105, 12, 16, 12, 31], case_number:172 is ok
2024-05-21 14:56:45 - INFO - id_id:173, search [105, 12, 16, 12, 31], case_number:173 is ok
2024-05-21 14:56:47 - INFO - id_id:174, search [105, 12, 16, 12, 31], case_number:174 is ok
2024-05-21 14:56:50 - INFO - id_id:175, search [105, 12, 16, 12, 31], case_number:175 is ok
2024-05-21 14:56:52 - INFO - id_id:176, search [105, 12, 16, 12, 31], case_number:176 is ok
2024-05-21 14:56:54 - INFO - id_id:177, search [105, 12, 16, 12, 31], case_number:177 is ok
2024-05-21 14:56:56 - INFO - id_id:178, search [105, 12, 16, 12, 31], case_number:178 is ok
2024-05-21 14:56:58 - INFO - id_id:179, search [105, 12, 16, 12, 31], case_number:179 is ok
2024-05-21 14:57:01 - INFO - id_id:180, search [105, 12, 16, 12, 31], case_number:180 is ok
2024-05-21 14:57:04 - INFO - id_id:181, search [105, 12, 16, 12, 31], case_number:181 is ok
2024-05-21 14:57:06 - INFO - id_id:182, search [105, 12, 16, 12, 31], case_number:182 is ok
2024-05-21 14:57:12 - INFO - id_id:183, search [105, 12, 16, 12, 31], case_number:183 is ok
2024-05-21 14:57:17 - INFO - id_id:184, search [105, 12, 16, 12, 31], case_number:184 is ok
2024-05-21 14:57:26 - INFO - id_id:185, search [105, 12, 16, 12, 31], case_number:185 is ok
2024-05-21 14:57:31 - INFO - id_id:186, search [105, 12, 16, 12, 31], case_number:186 is ok
2024-05-21 14:57:39 - INFO - id_id:187, search [105, 12, 16, 12, 31], case_number:187 is ok
2024-05-21 14:57:45 - INFO - id_id:188, search [105, 12, 16, 12, 31], case_number:188 is ok
2024-05-21 14:57:54 - INFO - id_id:189, search [105, 12, 16, 12, 31], case_number:189 is ok
2024-05-21 14:57:57 - INFO - id_id:190, search [105, 12, 16, 12, 31], case_number:190 is ok
2024-05-21 14:57:59 - INFO - id_id:191, search [105, 12, 16, 12, 31], case_number:191 is ok
2024-05-21 14:58:01 - INFO - id_id:192, search [105, 12, 16, 12, 31], case_number:192 is ok
2024-05-21 14:58:03 - INFO - id_id:193, search [105, 12, 16, 12, 31], case_number:193 is ok
2024-05-21 14:58:05 - INFO - id_id:194, search [105, 12, 16, 12, 31], case_number:194 is ok
2024-05-21 14:58:08 - INFO - id_id:195, search [105, 12, 16, 12, 31], case_number:195 is ok
2024-05-21 14:58:10 - INFO - id_id:196, search [105, 12, 16, 12, 31], case_number:196 is ok
2024-05-21 14:58:12 - INFO - id_id:197, search [105, 12, 16, 12, 31], case_number:197 is ok
2024-05-21 14:58:15 - INFO - id_id:198, search [105, 12, 16, 12, 31], case_number:198 is ok
2024-05-21 14:58:17 - INFO - id_id:199, search [105, 12, 16, 12, 31], case_number:199 is ok
2024-05-21 14:58:19 - INFO - id_id:200, search [105, 12, 16, 12, 31], case_number:200 is ok
2024-05-21 14:58:22 - INFO - id_id:201, search [105, 12, 16, 12, 31], case_number:201 is ok
2024-05-21 14:58:24 - INFO - id_id:202, search [105, 12, 16, 12, 31], case_number:202 is ok
2024-05-21 14:58:27 - INFO - id_id:203, search [105, 12, 16, 12, 31], case_number:203 is ok
2024-05-21 14:58:29 - INFO - id_id:204, search [105, 12, 16, 12, 31], case_number:204 is ok
2024-05-21 14:58:31 - INFO - id_id:205, search [105, 12, 16, 12, 31], case_number:205 is ok
2024-05-21 14:58:33 - INFO - id_id:206, search [105, 12, 16, 12, 31], case_number:206 is ok
2024-05-21 14:58:36 - INFO - id_id:207, search [105, 12, 16, 12, 31], case_number:207 is ok
2024-05-21 14:58:39 - INFO - id_id:208, search [105, 12, 16, 12, 31], case_number:208 is ok
2024-05-21 14:58:41 - INFO - id_id:209, search [105, 12, 16, 12, 31], case_number:209 is ok
2024-05-21 14:58:44 - INFO - id_id:210, search [105, 12, 16, 12, 31], case_number:210 is ok
2024-05-21 14:58:46 - INFO - id_id:211, search [105, 12, 16, 12, 31], case_number:211 is ok
2024-05-21 14:58:49 - INFO - id_id:212, search [105, 12, 16, 12, 31], case_number:212 is ok
2024-05-21 14:58:51 - INFO - id_id:213, search [105, 12, 16, 12, 31], case_number:213 is ok
2024-05-21 14:58:54 - INFO - id_id:214, search [105, 12, 16, 12, 31], case_number:214 is ok
2024-05-21 14:58:57 - INFO - id_id:215, search [105, 12, 16, 12, 31], case_number:215 is ok
2024-05-21 14:59:03 - INFO - id_id:216, search [105, 12, 16, 12, 31], case_number:216 is ok
2024-05-21 14:59:05 - INFO - id_id:217, search [105, 12, 16, 12, 31], case_number:217 is ok
2024-05-21 14:59:08 - INFO - id_id:218, search [105, 12, 16, 12, 31], case_number:218 is ok
2024-05-21 14:59:10 - INFO - id_id:219, search [105, 12, 16, 12, 31], case_number:219 is ok
2024-05-21 14:59:13 - INFO - id_id:220, search [105, 12, 16, 12, 31], case_number:220 is ok
2024-05-21 14:59:16 - INFO - id_id:221, search [105, 12, 16, 12, 31], case_number:221 is ok
2024-05-21 14:59:19 - INFO - id_id:222, search [105, 12, 16, 12, 31], case_number:222 is ok
2024-05-21 14:59:21 - INFO - id_id:223, search [105, 12, 16, 12, 31], case_number:223 is ok
2024-05-21 14:59:23 - INFO - id_id:224, search [105, 12, 16, 12, 31], case_number:224 is ok
2024-05-21 14:59:25 - INFO - id_id:225, search [105, 12, 16, 12, 31], case_number:225 is ok
2024-05-21 14:59:27 - INFO - id_id:226, search [105, 12, 16, 12, 31], case_number:226 is ok
2024-05-21 14:59:29 - INFO - id_id:227, search [105, 12, 16, 12, 31], case_number:227 is ok
2024-05-21 14:59:31 - INFO - id_id:228, search [105, 12, 16, 12, 31], case_number:228 is ok
2024-05-21 14:59:34 - INFO - id_id:229, search [105, 12, 16, 12, 31], case_number:229 is ok
2024-05-21 14:59:36 - INFO - id_id:230, search [105, 12, 16, 12, 31], case_number:230 is ok
2024-05-21 14:59:38 - INFO - id_id:231, search [105, 12, 16, 12, 31], case_number:231 is ok
2024-05-21 14:59:40 - INFO - id_id:232, search [105, 12, 16, 12, 31], case_number:232 is ok
2024-05-21 14:59:42 - INFO - id_id:233, search [105, 12, 16, 12, 31], case_number:233 is ok
2024-05-21 14:59:44 - INFO - id_id:234, search [105, 12, 16, 12, 31], case_number:234 is ok
2024-05-21 14:59:46 - INFO - id_id:235, search [105, 12, 16, 12, 31], case_number:235 is ok
2024-05-21 14:59:48 - INFO - id_id:236, search [105, 12, 16, 12, 31], case_number:236 is ok
2024-05-21 14:59:50 - INFO - id_id:237, search [105, 12, 16, 12, 31], case_number:237 is ok
2024-05-21 14:59:53 - INFO - id_id:238, search [105, 12, 16, 12, 31], case_number:238 is ok
2024-05-21 14:59:55 - INFO - id_id:239, search [105, 12, 16, 12, 31], case_number:239 is ok
2024-05-21 14:59:57 - INFO - id_id:240, search [105, 12, 16, 12, 31], case_number:240 is ok
2024-05-21 15:00:00 - INFO - id_id:241, search [105, 12, 16, 12, 31], case_number:241 is ok
2024-05-21 15:00:02 - INFO - id_id:242, search [105, 12, 16, 12, 31], case_number:242 is ok
2024-05-21 15:00:04 - INFO - id_id:243, search [105, 12, 16, 12, 31], case_number:243 is ok
2024-05-21 15:00:16 - INFO - 244:https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=CHDM%2c105%2c%e7%b0%a1%2c2326%2c20161228%2c1&ot=in not found...laws, it's ok
2024-05-21 15:00:27 - INFO - id_id:244, search [105, 12, 16, 12, 31], case_number:244 is ok
2024-05-21 15:00:39 - INFO - 245:https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=HLDM%2c105%2c%e8%8a%b1%e5%8e%9f%e7%b0%a1%2c164%2c20161228%2c1&ot=in not found...laws, it's ok
2024-05-21 15:00:51 - INFO - id_id:245, search [105, 12, 16, 12, 31], case_number:245 is ok
2024-05-21 15:00:53 - INFO - id_id:246, search [105, 12, 16, 12, 31], case_number:246 is ok
2024-05-21 15:01:05 - INFO - 247:https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=TPDM%2c105%2c%e6%98%93%2c670%2c20161228%2c1&ot=in not found...laws, it's ok
2024-05-21 15:01:17 - INFO - id_id:247, search [105, 12, 16, 12, 31], case_number:247 is ok
2024-05-21 15:01:42 - INFO - 248:https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=KLDM%2c105%2c%e5%9f%ba%e7%b0%a1%2c1983%2c20161228%2c1&ot=in not found...laws, it's ok
2024-05-21 15:01:54 - INFO - id_id:248, search [105, 12, 16, 12, 31], case_number:248 is ok
2024-05-21 15:02:05 - INFO - 249:https://judgment.judicial.gov.tw/FJUD/data.aspx?ty=JD&id=PCDM%2c105%2c%e6%98%93%2c1098%2c20161228%2c1&ot=in not found...laws, it's ok
2024-05-21 15:02:17 - INFO - id_id:249, search [105, 12, 16, 12, 31], case_number:249 is ok
2024-05-21 15:02:19 - INFO - id_id:250, search [105, 12, 16, 12, 31], case_number:250 is ok
